# org-ja 翻訳用語集（2011-05-28）,
abbrev,略語
abbreviation,省略記法
ability,機能|能力
access to,アクセスする
acknowledgments,謝辞
activation,起動
active region,アクティブなリージョン
advanced,上級の
advanced features,上級機能
agenda,アジェンダ
agenda files,アジェンダファイル
agenda views,アジェンダビュー
almost certainly,九分九厘
an alternative way,別の方法
appearance,外観|見栄え
appetizer,おまけ
appointment,予約|アポイント
archive,アーカイブ
archive tag,アーカイブタグ
archiving,アーカイブ
arg,引数
argument,引数
assigning,割り当て
assignment,割り当て
available,利用できる
backtrace,バックトレース
backward compatibility,逆互換
batch,バッチ
batch execution,バッチ処理
block,ブロック
boolean expression,論理式
brackets,角括弧
buffer,バッファ
bug,バグ
built-in,ビルトイン
built-in agenda view,ビルトインされたアジェンダビュー
bullet,bullet
calc,calc
calculation,計算
calculations in tables,表計算
calendar,カレンダー
capture,キャプチャ
categories,カテゴリー
category,カテゴリー
chapter,章
characters,文字
check,チェック
checkbox,チェックボックス
checked,チェックされた
cindex,cindex
class,クラス
cleaned-up version,最新のバージョン
cleaner,より見やすい
clocking,計測
clocking work time,作業時間の計測
closing,完了
closing item,アイテムの完了
code,コード
code block,コードブロック
column,列
column formula,列の数式
column view,カラムビュー
command,コマンド
command line,コマンドライン
comment,コメント
comment lines,コメント行
completion,補完
component,コンポーネント
configuration,設定
conflict,衝突する
constants,定数
content,コンテンツ|内容
context,コンテクスト|状況|文脈
cooperates,協調して動く
copy,コピー
creating,作成
criteria,基準
curly braces,中括弧{}
current,カレント|現在の
current buffer,カレントバッファ
cursor,カーソル
custom,カスタム|カスタマイズ
customization,カスタマイズ
customize,カスタマイズ
customized,カスタマイズされた
customizing,カスタマイズする
cycle,切り替え
cycling,切り替え
daily,毎日|1日
data,データ
database,データベース
date,日付
day,日付|日にち
deadline,デッドライン
debugging,デバッグ
default,デフォルト|初期値
destination,公開先
detailed report,詳細な報告
diary,日記
directory,ディレクトリ
dispatcher,コマンド選択画面
display,ディスプレイ|表示
diverge,分かれる
docstring,ドキュメント文字列
document,ドキュメント|文書
document structure,ドキュメントの構造
double-quotes,ダブルクォーテーション
drawers,引き出し
dynamic,動的な
editing,編集
editor,エディタ
effort,工数
effort estimate,工数の見積り
email,email
embedded,組み込み
embedded LaTeX,組み込みLaTeX
emph,emph
end up,結局〜となる
enhancing,拡張する
entries,エントリー|文|入力
entry,エントリー|文|入力
error,エラー
evaluate,評価する
evaluation,評価
example,例
expansion,拡張|展開
explicit,明示的に
export,エクスポート
Export code and/or results,コードと(または)実行結果を出力する
Export contents and/or results,コード(と/または)結果のエクスポート
export to,〜への出力
exported,エクスポート|出力された
exporter,エクスポート機能
exporting,エクスポート
exporting agenda views,アジェンダビューの出力
extended use,拡張的な使い方
extension,拡張|拡張子
external,外部
feature,機能
feedback,フィードバック
field,フィールド
file,ファイル
folder,フォルダ|折りたたむ
Folding blocks,ブロック単位で折りたたむ
following commands,以下に述べるコマンド
font,フォント
footnote,脚注|footnote
format,フォーマット|形成
formula,数式
formula syntax,数式の構文
fragment,フラグメント
function,機能|関数
functionality,機能性
global,グローバルな
grid,グリッド
hacking,ハッキング
handling,扱い
hash,ハッシュデータ
header,ヘッダー
header argument,ヘッダー引数
heading,見出し
headline,見出し
hierarchy,階層
highlighting states,状態のハイライト
hook,フック
horizontal,水平|横線
hyperlinks,ハイパーリンク
icalendar,iCalendar|iCalendar形式
iCalendar export,iCalendarエクスポート
idle time,空き時間
image,画像
index,インデックス
influence,変更する
information,情報
inheritance,継承
inline,インライン
insert,挿入
install,インストール
installation,インストール
interaction,連携
internal,内部
internal link,内部リンク
invisible,非表示
item,アイテム|項目
itemize,itemize
itemx,itemx
kbd,kbd
key,キー
keyword,キーワード
kill,キル
kindex,kindex
language,言語
laptop,ラップトップ
level,レベル|階層
line,行|ライン|線
link,リンク
link abbreviations,リンクの省略記法
line break,改行
link format,リンクのフォーマット
list,リスト
literate programming,文芸的プログラミング
logging,記録|ログ|ログを取る
macro,マクロ
maintain,維持する
major,メジャー
Making an index,インデックスを作る
manual,マニュアル
mark,マーク
marked,マーク
match view,マッチビュー
matches,一致
math,数学
mathematical,数学
menu,メニュー
message,メッセージ
minibuffer,ミニバッファ
minor mode,マイナーモード
miscellaneous,その他
mode,モード|モード
modify,修正
motion,移動
mouse,マウス|mouse
moving,移動
named,名前付き
named-field formula,名前付きフィールドの数式
narrow,ナローイングする|幅を狭くする
narrow column,列幅の制限
narrowed,ナローされた|幅を狭くした
