# これは @takeshi_o さんの翻訳用語集です．
# 用語集はタブ区切りで作ってください．
# hoge hoge hoge	訳語1
# hogehoge	訳語1|訳語2
org2ja	Org-mode翻訳チーム|そんな名前はありません
org-ja	org-ja
criteria	基準
provide	用意する
;	全角か半角か？？
match view	マッチビュー
time-sorted view	時間順のビュー
specified keywords	指定したキーワード
following commands	以下に述べるコマンド
maintain	維持する
boolean expression	論理式
sexp entries	Ｓ式項目
evaluate	評価する
class	クラス
hash	ハッシュデータ
notification facility	通知する機能
syntactic sugar	糖衣構文（簡便な構文）
double-quotes	ダブルクォーテーション
brackets	角括弧
Org way	Org-mode流
curly braces	中括弧{}
backward compatibility	逆互換
TODO states	TODOの状態
almost certainly	九分九厘
cleaned-up version	最新のバージョン
end up	結局～となる
grid	グリッド
explicit	明示的に
diverge	分かれる
# [DONE] 2011-05-28@11:26
