# (ノードリスト)
#
# 以下に定義された原文および翻訳語は，ノードにおける翻訳語とリンクにおける翻訳語
# が等しい状態にないとinfoを生成できない．
#
# PO で以下の用語を翻訳を変更する場合，
# 翻訳者）三列目を新しい翻訳に書き換える
# 管理者）スクリプトを利用して新しい翻訳をPOに反映，
#         本リストの現在の翻訳を，新しい翻訳に変更する．
#
# - スクリプトは現時点で未公開
# - 現在の翻訳は，スクリプトが自動で更新するように改良する予定
# 
# 正しく更新されたことを確認したら，現在の翻訳を，新しい翻訳で上書きする
# STATUS-1) Activation，アクティベーション，アクティベーション
# STATUS-2) Activation，アクティベーション，あくてぃべーしょん
# STATUS-3) Activation，あくてぃべーしょん，あくてぃべーしょん
#
# 一度も変換が行われていない場合
# STATUS-1) Activation，Activation，アクティベーション
# STATUS-2) Activation，アクティベーション，アクティベーション
#
# (英文，現在の翻訳，新しい翻訳)
#
# 第一章
Activation,アクティベーション,アクティベーション
#
# 第二章
#
Column width and alignment,列幅と整列,列幅と整列
Properties and Columns,Properties and Columns,プロパティとカラム
Exporting,Exporting,ノートの共有と公開
Visibility cycling,Visibility cycling,表示、非表示の切り替え
Structure editing,Structure editing,見出し位置と階層の変更
Sparse trees,Sparse trees,ツリーの抽出
Plain lists,Plain lists,エントリー中の階層構造
Tracking TODO state changes,Tracking TODO state changes,作業の状態変化の追跡
Clocking work time,Clocking work time,作業に費やした時間の計測
Refiling notes,Refiling notes,ノートの再配置
Agenda dispatcher,Agenda dispatcher,アジェンダのコマンド選択
Agenda commands,Agenda commands,アジェンダのコマンド
Literal examples,Literal examples,リテラルの例
Embedded LaTeX,Embedded LaTeX,LaTeXの組み込み
Clean view,Clean view,アウトラインの「*」を取り除く
#,,
# 第三章,,
#,,
Tables,Tables,テーブル
Column width and alignment,Column width and alignment,列幅と整列
Field and range formulas,Field and range formulas,フィールドと範囲の数式
Column formulas,Column formulas,列の数式
Editing and debugging formulas,Editing and debugging formulas,数式の編集とデバッグ
Conflicts,Conflicts,衝突
Tables in arbitrary syntax,Tables in arbitrary syntax,任意の構文によるテーブル
Translator functions,Translator functions,変換関数
Advanced features,Advanced features,一歩進んだ機能
#,,
# 第四章,,
#,,
Installation,Installation,インストール
Link format,Link format,リンクのフォーマット
Internal links,Internal links,内部リンク
Handling links,Handling links,リンクの扱い
Link abbreviations,Link abbreviations,リンクの省略記法
Search options,Search options,検索オプション
Custom searches,Custom searches,カスタム検索
HTML export,HTML export,HTMLのエクスポート
Completion,Completion,補完
Adding hyperlink types,Adding hyperlink types,ハイパーリンクのタイプの追加
#,,
# 第五章,,
#,,
TODO Items,TODO Items,TODOアイテム
Tags,Tags,タグ
Agenda Views,Agenda Views,アジェンダビュー
Checkboxes,Checkboxes,チェックボックス
Drawers,Drawers,引き出し
TODO extensions,TODO extensions,TODO拡張
Workflow states,Workflow states,ワークフローの状態
Fast access to TODO states,Fast access to TODO states,TODOの状態への素早い対応手段
Per-file keywords,Per-file keywords,ファイル毎のキーワード
Setting tags,Setting tags,タグの設定
Creating timestamps,Creating timestamps,タイムスタンプの作成
Weekly/daily agenda,Weekly/daily agenda,毎週／毎日のアジェンダ
Global TODO list,Global TODO list,グローバルなTODOリスト
Timeline,Timeline,タイムライン
#,,
# 第六章,,
#,,
TODO basics,TODO basics,TODOの基本
Faces for TODO keywords,Faces for TODO keywords,TODOキーワードのフェイス
Property searches,Property searches,プロパティの検索
Matching tags and properties,Matching tags and properties,タグとプロパティとのマッチング
#,,
# 第七章,,
#,,
Special properties,Special properties,スペシャルプロパティ
Column view,Column view,カラムビュー
Moving subtrees,Moving subtrees,サブツリーを移動する
Dynamic blocks,Dynamic blocks,ダイナミックブロック
Using the property API,Using the property API,プロパティAPIを使う
#,,
# 第八章,,
#,,
Priorities,Priorities,プロパティ
Tag searches,Tag searches,タグの検索
Effort estimates,Effort estimates,工数の見積もり
Agenda column view,Agenda column view,アジェンダのカラム表示
Repeated tasks,Repeated tasks,繰り返されるタスク
Custom time format,Custom time format,カスタムタイムフォーマット
Resolving idle time,Resolving idle time,空き時間の解決
#,,
# 第九章,,
#,,
Hyperlinks,Hyperlinks,ハイパーリンク
Capture,Capture,キャプチャ
Capture templates,Capture templates,キャプチャテンプレート
#,,
# 第十章,,
#,,
Property inheritance,Property inheritance,プロパティの継承
Timestamps,Timestamps,タイムスタンプ
Agenda files,Agenda files,アジェンダファイル
Custom agenda views,Custom agenda views,カスタムアジェンダビュー
Categories,Categories,カテゴリ
Block agenda,Block agenda,ブロックアジェンダ
Extracting agenda information,Extracting agenda information,アジェンダ情報の抽出
Stuck projects,Stuck projects,詳細が未決定なプロジェクト
Column attributes,Column attributes,カラム・アトリビュート
#,,
# 第十一章,,
#,,
Document Structure,Document Structure,ドキュメントの構造
Math formatting in HTML export,Math formatting in HTML export,HTMLエクスポートでの数式フォーマット
Text areas in HTML export,Text areas in HTML export,HTMLエクスポートでのテキストエリア
Footnotes,Footnotes,脚注
Generating an index,Generating an index,インデックスの生成
#,,
# 第十二章,,
#,,
Property syntax,Property syntax,プロパティの表記法
Images and tables,Images and tables,画像とテーブル
LaTeX fragments,LaTeX fragments,LaTeXのコード片
Project alist,Project alist,プロジェクトのリスト
Publishing links,Publishing links,ファイルリンク付きの公開
In-buffer settings,In-buffer settings,バッファ内での変数制御
Radio targets,Radio targets,ラジオターゲット
TODO dependencies,TODO dependencies,TODO間の関係
#,,
# 第十三章,,
#,,
Export options,Export options,エクスポートオプション
Uploading files,Uploading files,ファイルのアップロード
Complex example,Complex example,複雑な例
#,,
# 第十四章,,
#,,
The spreadsheet,The spreadsheet,スプレッドシート
Structure of code blocks,Structure of code blocks,コードブロックの構造
Evaluating code blocks,Evaluating code blocks,コードブロックの評価
Library of Babel,Library of Babel,Babelライブラリ
Languages,Languages,言語
Header arguments,Header arguments,ヘッダー引数
Header arguments in function calls,Header arguments in function calls,関数実行時のヘッダー引数
Noweb reference syntax,Noweb reference syntax,Nowebでの参照の構文
var,var,var
file,file,file
Code evaluation security,Code evaluation security,コード評価の安全性
#,,
# 第十五章,,
#,,
External links,External links,外部リンク
CDLaTeX mode,CDLaTeX mode,CDLaTeXモード
#,,
# 第十六章,,
#,,
Working With Source Code,Working With Source Code,ソースコードとの連携
The very busy C-c C-c key,The very busy C-c C-c key,「C-c C-c」キーはとても忙しい
Radio tables,Radio tables,ラジオテーブル
#,,
#,,
# end of file.,,
