INDEX	LINE	FREQ	ENGLISH	JAPANESE
1:	27	2	The Org Manual	Org Mode マニュアル
2:	45	13	\\key\\	
3:	58	8	\\command\\	
4:	66	3	@kbd{\\key\\} @hskip 0pt plus 1filll @code{\\command\\}	
5:	74	3	@kbd{\\key\\} @tie{}@tie{}@tie{}@tie{}(@code{\\command\\})	
6:	94	3	\\text\\	
7:	113	14	\\key1\\	
8:	130	12	\\key2\\	
9:	167	2	@kbd{\\key1\\} @ @r{or short} @ @kbd{\\key2\\} @hskip 0pt plus 1filll @code{\\command\\}	
10:	174	2	@kbd{\\key1\\} @ @r{or short} @ @kbd{\\key2\\} @tie{}@tie{}@tie{}@tie{}(@code{\\command\\})	
11:	181	2	@kbd{\\key1\\} @ @r{or short} @ @kbd{\\key2\\}	
12:	379	13	Tables	
13:	483	11	Dates and Times	Date and Times
14:	788	2	Brief summary of what Org does	
15:	805	2	How to install a downloaded version of Org	
16:	822	2	How to activate Org for certain buffers	
17:	839	2	Bug reports, ideas, patches etc.	
18:	854	2	Type-setting conventions in the manual	
19:	861	2	Document structure	
20:	877	2	Org is based on Outline mode	
21:	894	2	How to typeset Org tree headlines	
22:	911	2	Show and hide, much simplified	
23:	928	2	Jumping to other headlines	
24:	945	2	Changing sequence and level of headlines	
25:	962	2	Matches embedded in context	
26:	979	2	Additional structure within an entry	
27:	996	2	Tucking stuff away	
28:	1013	2	Folding blocks	
29:	1026	8	Footnotes	
30:	1032	2	How footnotes are defined in Org's syntax	
31:	1042	5	Orgstruct mode	
32:	1048	2	Structure editing outside Org	
33:	1063	2	Simple tables	
34:	1080	2	Overrule the automatic settings	
35:	1097	2	Grouping to trigger vertical lines	
36:	1109	7	Orgtbl mode	
37:	1115	2	The table editor as minor mode	
38:	1141	2	The table editor has spreadsheet capabilities	
39:	1151	5	Org-Plot	
40:	1157	2	Plotting from org tables	
41:	1173	2	How to refer to another field or range	
42:	1190	2	Using Calc to compute stuff	
43:	1206	2	Writing formulas in Emacs Lisp	
44:	1223	2	Formula for specific (ranges of) fields	
45:	1240	2	Formulas valid for an entire column	
46:	1257	2	Fixing formulas	
47:	1274	2	Recomputing all dependent fields	
48:	1284	5	Advanced features	
49:	1290	2	Field names, parameters and automatic recalc	
50:	1306	2	How links in Org are formatted	
51:	1325	2	Links to other places in the current file	
52:	1342	2	URL-like links to the world	
53:	1359	2	Creating, inserting and following	
54:	1376	2	Linking from my C source code?	
55:	1393	2	Shortcuts for writing complex links	
56:	1409	2	Linking to a specific location	
57:	1424	2	When the default search is not enough	
58:	1433	4	Radio targets	
59:	1439	2	Make targets trigger links in plain text	
60:	1447	3	TODO items	
61:	1462	2	Marking and displaying TODO entries	
62:	1485	2	Workflow and assignments	
63:	1506	2	Dates and notes for progress	
64:	1523	2	Some things are more important than others	
65:	1539	2	Splitting a task into manageable pieces	
66:	1549	5	Checkboxes	
67:	1555	2	Tick-off lists	
68:	1562	2	Extended use of TODO keywords	
69:	1577	2	From TODO to DONE in steps	
70:	1594	2	I do this, Fred does the rest	
71:	1610	2	Mixing it all, and still finding your way	
72:	1627	2	Single letter selection of a state	
73:	1643	2	Different files, different requirements	
